IPF,FY,ORG_TYPE,REGION,STATE_CODE,tot_doll
2dc95a359cab9221d19f135d1e9a526d,1985,Medical Schools,South,FL,7776504.534502116
d6fb16bbb61b27a135efa71237a0ec0b,1985,Other Higher Education,South,FL,2083583.892594876
fb353b9517a24d4a5130bfe23aeaf9a0,1985,Other Higher Education,South,FL,134965.38957552944
8b15e92b27bcd3e474babe373897fd52,1985,Medical Schools,West,UT,52652603.99900466
595f76ce6ee2fe0c22af3faeb5434ea4,1985,Other Higher Education,West,UT,25005098.462954607
fc436a721dbec1ab2b09053fe88b933d,1985,Other Higher Education,West,UT,1642236.893904199
7b583b3edcaa0587a9e5dea6996ba281,1985,Foreign,Foreign,ON,621528.3527425329
d70d5a0666fd077ef42ced6ba2afcb2a,1985,Other Domestic NonProfit,North East,NY,4253.01808344882
6206f57214f30fd952e119acb8ac207f,1985,Research Institutes,West,CA,745943.3505789511
04c8a7218bf86e6581b4640ecb6dded0,1985,Other Higher Education,West,CA,88617527.8410641
6a617747abe404ef441c28860d9d77a2,1985,Medical Schools,West,CA,24111313.75147782
43380a825067e7a2c8ab480fe0fe1cc3,1985,Other Higher Education,West,CA,25398237.20560623
780a58b1317f178242a2ec7aa9683848,1985,Medical Schools,West,CA,32729457.707516845
0a1c97b47665a048553d8863bd278c8a,1985,Other Higher Education,West,CA,17368949.83912173
300ef784b8557810088f450b8751e264,1985,Medical Schools,West,CA,124115949.92557466
42a80109e2fa46f2d0f621ea910deeb9,1985,Other Higher Education,West,CA,78841387.54605687
49e154b4838aa9299cf8eddc34ce4bc9,1985,Medical Schools,West,CA,1856094.821038626
0efbdb7ffcbdc8238768ab7ada4d7667,1985,Other Higher Education,West,CA,10555858.172495978
069d6d4729dbd7cb5f1c8078de8a40f6,1985,Medical Schools,West,CA,94995825.82370685
29907274a4784acc1f2ed2e8604e9282,1985,Other Higher Education,West,CA,29172537.975513868
59937df2a110c91396a6768904d0de6c,1985,Medical Schools,West,CA,196471630.2459162
3667a5f5edcbf61b2f84e92a74274eb8,1985,Other Higher Education,West,CA,28437972.8757075
83eb7180731a06de0a68d61a0bca2b78,1985,Other Higher Education,West,CA,12725696.808876282
db8715eb38378681949e2e7943c94e7a,1985,Other Higher Education,West,CA,7275624.763640897
e938c29da423e2fc5c35f8c525852d52,1985,Other Domestic NonProfit,West,CA,34184732.42541042
8382bfde67b6e8816cceead2608d4563,1985,Other Domestic NonProfit,West,CA,4166194.5827230467
6c79021985c0b6250738a906b0072f9e,1985,Other Domestic NonProfit,West,NM,7731787.810519794
1f6960ede5a09535866925d5370baeb3,1985,Medical Schools,Mid West,IL,37178452.71413742
380ce1e957dd17a448da10b3cf75208a,1985,Other Higher Education,Mid West,IL,12193905.241692614
d1cb79a001e71206b090a7934b4eaf20,1985,Medical Schools,Mid West,IL,1078620.3653750657
f74bfce75bbe3d7366851d180ba145d5,1985,Other Higher Education,Mid West,IL,42776375.59787487
e94b05c17a95b674f5d44fa16ad64241,1985,Medical Schools,Mid West,IN,421740.77447867184
c08bd65b614b382f8d0b308d4cfcdb34,1985,Other Higher Education,Mid West,IN,19395073.74328818
db76105ad702e684273427dd3daf0680,1985,Medical Schools,Mid West,IN,29532395.13109137
af5b83603477945cebaba073bb736b90,1985,Other Higher Education,Mid West,IN,1554904.6748005091
c8bf50c6076285e2d6dda6ab045e4f6b,1985,Medical Schools,South,LA,28235265.697501797
55e17e1616e432824b91fad1d38f4fae,1985,Other Higher Education,South,LA,782833.3848985544
3699444b2c3f39eff6ef604d7b471a40,1985,Other Higher Education,South,LA,654228.5638462286
90af1aed744c26eecaa06fbf6d060431,1985,Medical Schools,South,LA,4424469.058927512
02c160e68478fc145da54b6fb04b30bc,1985,Other Higher Education,South,LA,5256212.151841665
11c73438ae223e3cf89d3d7454de110a,1985,Medical Schools,Mid West,MO,14653192.409687957
c41be0923b0d5c92a1f9e19323242fa5,1985,Other Higher Education,Mid West,MO,7417964.998983294
c9ad868b8f909f2c107a3c52ac0a32eb,1985,Other Higher Education,Mid West,MO,853933.9888270358
f511c68e4cc72c7c6c16b186388aa45c,1985,Medical Schools,Mid West,MO,214278.1733914059
863f0999ff4162de29fb4c2a83debe21,1985,Other Higher Education,Mid West,MO,63984.85600352118
5e0f5b5877b747296539a28b928ebed5,1985,Other Higher Education,Mid West,NE,57286.19452503821
f85772a1904eb813075a4aeb2f5a6bed,1985,Other Higher Education,Mid West,NE,4488415.998510213
c9ec912703692bc5448e8869524e21de,1985,Medical Schools,Mid West,NE,15384822.11105935
93e8360e7f9e5eda4a7c5d35e85ce0cc,1985,Other Higher Education,Mid West,NE,255474.94126778605
8be381dfb5f23d96bb7666a4e1e2c1d2,1985,Other Higher Education,South,NC,224060.7468969597
616375bb0e76e8fe473377715893cd7c,1985,Other Higher Education,South,NC,9322975.847994143
43e3ba7c3863a5e39aad260a49d6d9ee,1985,Other Higher Education,South,NC,373681.0382593701
a228485c13e744a543bf05af675635f6,1985,Medical Schools,South,NC,75380609.41072242
8578e494a00333de45d3b0e4f428c681,1985,Other Higher Education,South,NC,21156549.97745058
77d0a29bdd56e9c67814bb58937f0bf5,1985,Medical Schools,South,NC,3725754.4318956146
1670646d3dc2fe754177667d7f1c4967,1985,Other Higher Education,South,NC,357803.3147376807
6eac26d7c986d1289e5ed54fb7ee5418,1985,Medical Schools,South,TN,22364928.48109968
43ed5ee59046bf414340ce58007af308,1985,Other Higher Education,South,TN,435668.9348599791
ba6926aa1612acb3681c0defd4c0b4b4,1985,Other Higher Education,South,TN,238731.44745666298
1d01d2043fc38cd16bef1f45e99cbcb1,1985,Medical Schools,South,TN,1793386.5023364695
b1d668f895b8bce595988d5fbcd78a78,1985,Other Higher Education,South,TN,9333450.40556777
1e5ef0e7afc5e766e63c57d0990f5188,1985,Other Higher Education,South,TX,519970.9574845085
62cf89a412e564684d1a4c879744af4e,1985,Other Higher Education,South,TX,23907004.5728787
e77805a36e92a0cdfc56c12b70054b4b,1985,Medical Schools,South,TX,88193568.92887527
dcc1ccfba6943209bb1d0a7879b4307a,1985,Medical Schools,South,TX,38080038.83824728
985887de553545470f7f43a88c88acd0,1985,Other Higher Education,South,TX,1154090.8979516132
afb0627e3fe55f2516e9aedf7ee703d9,1985,Other Higher Education,South,TX,47440925.31571029
18e7d75378d9c3ad4f420ee82b8d0f74,1985,Other Higher Education,South,TX,4261666.306874361
9bbdbad97a3405464cc9e3dfa2760596,1985,Other Higher Education,South,TX,801033.5215923663
4b5bd1bbaa1e94bcf063193acc1a82ee,1985,Medical Schools,South,TX,43781797.27617486
ffe4477ee58abcc76f29c04a059b81b6,1985,Other Higher Education,South,TX,4887687.819494738
5bdd126a8a820661e969ab687e6a5771,1985,Medical Schools,South,TX,53312178.85590176
63c3c54e9193bb6177d3b659d70f2cb4,1985,Other Higher Education,South,TX,2192980.617055956
0752e1b77f27763be3d1b9f2718c6593,1985,Other Higher Education,South,TX,3444230.544143424
